date,avgTemp,state,country
1987,72.24358182,Florida,United States
1988,71.88227273,Florida,United States
1989,72.35698182,Florida,United States
1990,74.08498182,Florida,United States
1991,73.37038182,Florida,United States
1992,72.24325455,Florida,United States
1993,71.75234545,Florida,United States
1994,73.62270909,Florida,United States
1995,72.84903636,Florida,United States
1996,71.95721818,Florida,United States
1997,73.12410909,Florida,United States
1998,74.37641818,Florida,United States
1999,72.99254545,Florida,United States
2000,72.58410909,Florida,United States
2001,73.47363636,Florida,United States
2002,73.44434545,Florida,United States
2003,73.56396364,Florida,United States
2004,73.09072727,Florida,United States
2005,72.75625455,Florida,United States
2006,73.25125455,Florida,United States
2007,73.57983636,Florida,United States
2008,72.90156364,Florida,United States
2009,73.34796364,Florida,United States
2010,71.79030909,Florida,United States
2011,74.14945455,Florida,United States
2012,73.91774545,Florida,United States
2013,74.4953,Georgia (State),United States
1950,65.56424,Georgia (State),United States
1951,65.86896364,Georgia (State),United States
1952,65.50454545,Georgia (State),United States
1953,65.94047273,Georgia (State),United States
1954,66.30750909,Georgia (State),United States
1955,65.89743636,Georgia (State),United States
1956,66.35201818,Georgia (State),United States
1957,66.16890909,Georgia (State),United States
1958,64.47952727,Georgia (State),United States
1959,66.00789091,Georgia (State),United States
1960,64.22932727,Georgia (State),United States
1961,65.32552727,Georgia (State),United States
1962,65.53792727,Georgia (State),United States
1963,64.50047273,Georgia (State),United States
1964,65.10167273,Georgia (State),United States
1965,65.4584,Georgia (State),United States
1966,64.43943636,Georgia (State),United States
1967,64.66165455,Georgia (State),United States
1968,64.18236364,Georgia (State),United States
1969,64.14325455,Georgia (State),United States
1970,65.85096364,Georgia (State),United States
1971,65.74852727,Georgia (State),United States
1972,65.41847273,Georgia (State),United States
1973,65.92034545,Georgia (State),United States
1974,65.192,Georgia (State),United States
1975,65.76243636,Georgia (State),United States
1976,64.12312727,Georgia (State),United States
1977,66.2288,Georgia (State),United States
1978,65.55952727,Georgia (State),United States
1979,64.99890909,Georgia (State),United States
1980,65.21932727,Georgia (State),United States
1981,65.12163636,Georgia (State),United States
1982,66.57505455,Georgia (State),United States
1983,64.49114545,Georgia (State),United States
1984,65.97074545,Georgia (State),United States
1985,66.73770909,Georgia (State),United States
1986,67.60956364,Georgia (State),United States
1987,65.73167273,Georgia (State),United States
1988,65.08972727,Georgia (State),United States
1989,65.03392727,Georgia (State),United States
1990,67.76190909,Georgia (State),United States
1991,66.88383636,Georgia (State),United States
1992,65.04898182,Georgia (State),United States
1993,65.16058182,Georgia (State),United States
1994,66.36118182,Georgia (State),United States
1995,65.93130909,Georgia (State),United States
1996,65.10985455,Georgia (State),United States
1997,65.45987273,Georgia (State),United States
1998,67.97381818,Georgia (State),United States
1999,66.64067273,Georgia (State),United States
2000,65.82085455,Georgia (State),United States
2001,66.70105455,Georgia (State),United States
2002,66.83212727,Georgia (State),United States
2003,66.263,Georgia (State),United States
2004,66.6194,Georgia (State),United States
2005,66.02621818,Georgia (State),United States
2006,66.65949091,Georgia (State),United States
2007,67.20014545,Georgia (State),United States
2008,66.19836364,Georgia (State),United States
2009,66.0434,Georgia (State),United States
2010,65.91576364,Georgia (State),United States
2011,67.7858,Georgia (State),United States
2012,67.76829091,Georgia (State),United States
2013,68.53055,Hawaii,United States
1950,72.60278,Hawaii,United States
1951,72.88929091,Hawaii,United States
1952,71.85412727,Hawaii,United States
1953,72.34552727,Hawaii,United States
1954,72.77654545,Hawaii,United States
1955,71.08634545,Hawaii,United States
1956,72.1382,Hawaii,United States
1957,72.25732727,Hawaii,United States
1958,72.1058,Hawaii,United States
1959,72.89272727,Hawaii,United States
1960,72.79421818,Hawaii,United States
1961,72.87505455,Hawaii,United States
1962,72.40721818,Hawaii,United States
1963,73.01103636,Hawaii,United States
1964,72.50016364,Hawaii,United States
1965,72.23867273,Hawaii,United States
1966,72.88372727,Hawaii,United States
1967,73.46970909,Hawaii,United States
1968,74.08645455,Hawaii,United States
1969,72.75543636,Hawaii,United States
1970,72.60865455,Hawaii,United States
1971,72.24145455,Hawaii,United States
1972,72.36107273,Hawaii,United States
1973,72.21101818,Hawaii,United States
1974,73.08925455,Hawaii,United States
1975,71.79832727,Hawaii,United States
1976,72.03167273,Hawaii,United States
1977,73.33470909,Hawaii,United States
1978,73.36694545,Hawaii,United States
1979,73.22850909,Hawaii,United States
1980,73.73087273,Hawaii,United States
1981,73.63563636,Hawaii,United States
1982,73.15012727,Hawaii,United States
1983,72.74610909,Hawaii,United States
1984,73.82987273,Hawaii,United States
1985,72.96374545,Hawaii,United States
1986,74.57507273,Hawaii,United States
1987,73.66361818,Hawaii,United States
1988,74.24747273,Hawaii,United States
1989,73.35630909,Hawaii,United States
1990,73.60470909,Hawaii,United States
1991,73.75345455,Hawaii,United States
1992,74.05814545,Hawaii,United States
1993,73.30607273,Hawaii,United States
1994,73.8698,Hawaii,United States
1995,74.05945455,Hawaii,United States
1996,74.273,Hawaii,United States
1997,73.98614545,Hawaii,United States
1998,72.88110909,Hawaii,United States
1999,72.80992727,Hawaii,United States
2000,73.6538,Hawaii,United States
2001,73.66721818,Hawaii,United States
2002,73.80565455,Hawaii,United States
2003,74.18447273,Hawaii,United States
2004,74.44481818,Hawaii,United States
2005,74.07287273,Hawaii,United States
2006,73.61370909,Hawaii,United States
2007,73.58130909,Hawaii,United States
2008,73.26630909,Hawaii,United States
2009,73.37201818,Hawaii,United States
2010,73.09694545,Hawaii,United States
2011,73.35549091,Hawaii,United States
2012,72.89583636,Hawaii,United States
2013,72.8348,Idaho,United States
1950,45.9212,Idaho,United States
1951,42.6758,Idaho,United States
1952,43.56352727,Idaho,United States
1953,44.72747273,Idaho,United States
1954,44.31167273,Idaho,United States
1955,41.9108,Idaho,United States
1956,43.17047273,Idaho,United States
1957,44.18125455,Idaho,United States
1958,45.93429091,Idaho,United States
1959,43.66629091,Idaho,United States
1960,44.06,Idaho,United States
1961,44.80847273,Idaho,United States
1962,44.36943636,Idaho,United States
1963,45.44681818,Idaho,United States
1964,42.12467273,Idaho,United States
1965,43.47434545,Idaho,United States
1966,44.6666,Idaho,United States
1967,44.56121818,Idaho,United States
1968,43.77052727,Idaho,United States
1969,43.997,Idaho,United States
1970,43.54978182,Idaho,United States
1971,42.86610909,Idaho,United States
1972,43.62701818,Idaho,United States
1973,44.4506,Idaho,United States
1974,44.79898182,Idaho,United States
1975,42.60985455,Idaho,United States
1976,43.56221818,Idaho,United States
1977,44.84218182,Idaho,United States
1978,43.27192727,Idaho,United States
1979,44.8214,Idaho,United States
1980,44.73974545,Idaho,United States
1981,45.36090909,Idaho,United States
1982,42.40678182,Idaho,United States
1983,43.65156364,Idaho,United States
1984,42.19094545,Idaho,United States
1985,41.26869091,Idaho,United States
1986,45.07896364,Idaho,United States
1987,45.84854545,Idaho,United States
1988,45.61798182,Idaho,United States
1989,44.06589091,Idaho,United States
1990,44.25963636,Idaho,United States
1991,44.56481818,Idaho,United States
1992,45.95114545,Idaho,United States
