dt,AverageTemperature,State,Country
1976,0.8727436363636585,Delaware,United States
1977,-0.8168018181818084,Delaware,United States
1978,1.654925454545463,Delaware,United States
1979,0.8661981818181914,Delaware,United States
1980,0.6927436363636517,Delaware,United States
1981,0.4484345454545533,Delaware,United States
1982,0.17205272727273524,Delaware,United States
1983,-0.13132909090908385,Delaware,United States
1984,-0.34863818181816697,Delaware,United States
1985,-1.0143109090909022,Delaware,United States
1986,-0.1948199999999929,Delaware,United States
1987,-0.09238363636362124,Delaware,United States
1988,0.6812890909091038,Delaware,United States
1989,1.217852727272735,Delaware,United States
1990,-1.6130563636363533,Delaware,United States
1991,-1.9475290909090788,Delaware,United States
1992,1.326180000000015,Delaware,United States
1993,0.5593800000000115,Delaware,United States
1994,-0.405910909090899,Delaware,United States
1995,0.40899818181819114,Delaware,United States
1996,1.0566709090909256,Delaware,United States
1997,0.2339072727272864,Delaware,United States
1998,-1.924783636363621,Delaware,United States
1999,-1.1887472727272623,Delaware,United States
2000,0.33978000000001174,Delaware,United States
2001,-1.1246018181818087,Delaware,United States
2002,-1.5693654545454478,Delaware,United States
2003,0.4935981818181929,Delaware,United States
2004,-0.8397109090908899,Delaware,United States
2005,-0.4198199999999943,Delaware,United States
2006,-1.4919654545454435,Delaware,United States
2007,-0.3412745454545316,Delaware,United States
2008,-0.7120745454545343,Delaware,United States
2009,-0.2674745454545402,Delaware,United States
2010,-1.5382745454545343,Delaware,United States
2011,-2.5433290909090758,Delaware,United States
2012,-2.5529836363636207,Delaware,United States
2013,-2.5529836363636207,District Of Columbia,United States
1950,0.042234805194794944,District Of Columbia,United States
1951,0.5610111688311576,District Of Columbia,United States
1952,0.2276838961038834,District Of Columbia,United States
1953,-1.0187342857143022,District Of Columbia,United States
1954,-0.30544337662339416,District Of Columbia,United States
1955,0.021502077922065155,District Of Columbia,United States
1956,0.3711929870129822,District Of Columbia,United States
1957,-0.6459706493506587,District Of Columbia,United States
1958,2.2183202597402456,District Of Columbia,United States
1959,-1.1836797402597554,District Of Columbia,United States
1960,1.6753748051947852,District Of Columbia,United States
1961,0.26957480519480015,District Of Columbia,United States
1962,1.7373929870129672,District Of Columbia,United States
1963,1.5192657142857087,District Of Columbia,United States
1964,0.4592293506493448,District Of Columbia,United States
1965,0.5132293506493397,District Of Columbia,United States
1966,0.956192987012976,District Of Columbia,United States
1967,2.267083896103884,District Of Columbia,United States
1968,0.3199748051947964,District Of Columbia,United States
1969,0.8796111688311612,District Of Columbia,United States
1970,-0.1364070129870285,District Of Columbia,United States
1971,-0.22509792207793566,District Of Columbia,United States
1972,1.5092838961038808,District Of Columbia,United States
1973,-0.7830979220779284,District Of Columbia,United States
1974,0.5057020779220665,District Of Columbia,United States
1975,0.06290207792206814,District Of Columbia,United States
1976,0.9982475324675235,District Of Columbia,United States
1977,-0.6780433766233855,District Of Columbia,United States
1978,1.4032475324675246,District Of Columbia,United States
1979,1.0745020779220695,District Of Columbia,United States
1980,0.5773748051948004,District Of Columbia,United States
1981,0.5539748051947981,District Of Columbia,United States
1982,0.03606571428570504,District Of Columbia,United States
1983,0.19757480519479031,District Of Columbia,United States
1984,-0.2480070129870242,District Of Columbia,United States
1985,-0.8989524675324745,District Of Columbia,United States
1986,-0.25438883116884625,District Of Columbia,United States
1987,-0.5924615584415633,District Of Columbia,United States
1988,0.2847929870129704,District Of Columbia,United States
1989,1.5534657142857071,District Of Columbia,United States
1990,-1.6619888311688484,District Of Columbia,United States
1991,-2.2864251948052043,District Of Columbia,United States
1992,1.334192987012976,District Of Columbia,United States
1993,0.633502077922067,District Of Columbia,United States
1994,-0.5592433766233853,District Of Columbia,United States
1995,0.29984753246753115,District Of Columbia,United States
1996,1.0980657142857027,District Of Columbia,United States
1997,0.3433748051947916,District Of Columbia,United States
1998,-2.3451706493506634,District Of Columbia,United States
1999,-1.076170649350665,District Of Columbia,United States
